Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price
OIBR-C,Oi S.A.,Technology,Diversified Communication Services,Brazil,4.34B,0.06,1.86
BVSN,"BroadVision, Inc.",Technology,Internet Software & Services,USA,8.70M,0.11,1.59
ICON,"Iconix Brand Group, Inc.",Consumer Goods,Textile - Apparel Footwear & Accessories,USA,11.80M,0.48,1.85
SSKN,"STRATA Skin Sciences, Inc.",Healthcare,Medical Instruments & Supplies,USA,86.21M,0.56,2.88
UONEK,"Urban One, Inc.",Services,Broadcasting - Radio,USA,95.00M,0.67,2.01
BPRAP,Brookfield Property REIT Inc.,Financial,REIT - Retail,USA,3.73B,0.68,25.37
CMLS,Cumulus Media Inc.,Services,Broadcasting - Radio,USA,296.62M,0.72,17.89
HCHC,"HC2 Holdings, Inc.",Technology,Long Distance Carriers,USA,113.29M,0.73,2.45
BPR,Brookfield Property REIT Inc.,Financial,REIT - Retail,USA,2.14B,0.78,20.63
UONE,"Urban One, Inc.",Services,Broadcasting - Radio,USA,4.03M,0.84,2.36
COOP,Mr. Cooper Group Inc.,Financial,Savings & Loans,USA,888.32M,0.86,9.62
CGA,"China Green Agriculture, Inc.",Basic Materials,Agricultural Chemicals,China,19.11M,0.92,0.50
EGY,"VAALCO Energy, Inc.",Basic Materials,Independent Oil & Gas,USA,131.11M,0.93,2.32
OPHT,Ophthotech Corporation,Healthcare,Biotechnology,USA,59.21M,0.95,1.40
KGJI,"Kingold Jewelry, Inc.",Basic Materials,Gold,China,56.32M,1.14,0.87
KODK,Eastman Kodak Company,Consumer Goods,Electronic Equipment,USA,135.01M,1.15,3.07
SIGA,"SIGA Technologies, Inc.",Healthcare,Biotechnology,USA,492.88M,1.17,6.11
BLNK,Blink Charging Co.,Services,Business Services,USA,74.59M,1.18,3.17
LGCY,Legacy Reserves Inc.,Basic Materials,Independent Oil & Gas,USA,57.41M,1.23,0.46
BORN,China New Borun Corporation,Consumer Goods,Beverages - Brewers,China,22.90M,1.23,0.87
CXDC,China XD Plastics Company Limited,Consumer Goods,Rubber & Plastics,China,122.09M,1.26,2.37
IPLDP,Interstate Power and Light Company,Utilities,Electric Utilities,USA,202.48M,1.28,25.25
OSN,"Ossen Innovation Co., Ltd.",Basic Materials,Steel & Iron,China,12.19M,1.32,1.83
AMPE,"Ampio Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,64.10M,1.39,0.56
SDLP,Seadrill Partners LLC,Basic Materials,Oil & Gas Drilling & Exploration,United Kingdom,80.84M,1.40,0.88
UPL,Ultra Petroleum Corp.,Basic Materials,Independent Oil & Gas,USA,120.29M,1.42,0.60
SYPR,"Sypris Solutions, Inc.",Consumer Goods,Auto Parts,USA,24.00M,1.46,1.07
CUO,Continental Materials Corporation,Industrial Goods,Diversified Machinery,USA,31.69M,1.47,18.70
SMMT,Summit Therapeutics plc,Healthcare,Drug Manufacturers - Other,United Kingdom,150.29M,1.49,1.88
HHS,"Harte Hanks, Inc.",Services,Marketing Services,USA,22.21M,1.50,3.67
FTSI,"FTS International, Inc.",Basic Materials,Oil & Gas Equipment & Services,USA,1.13B,1.60,10.49
MN,"Manning & Napier, Inc.",Financial,Asset Management,USA,31.39M,1.64,2.10
AVNW,"Aviat Networks, Inc.",Technology,Communication Equipment,USA,82.90M,1.79,15.60
JE,Just Energy Group Inc.,Utilities,Diversified Utilities,Canada,507.47M,1.93,3.46
CEPU,Central Puerto S.A.,Utilities,Electric Utilities,Argentina,13.83B,1.98,9.32
MTL,Mechel PAO,Basic Materials,Steel & Iron,Russia,665.89M,2.12,2.02
TALO,Talos Energy Inc.,Basic Materials,Independent Oil & Gas,USA,1.46B,2.12,27.31
EMMS,Emmis Communications Corporation,Services,Broadcasting - Radio,USA,48.12M,2.15,3.59
NBY,"NovaBay Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,20.30M,2.17,1.06
DGSE,"DGSE Companies, Inc.",Services,Jewelry Stores,USA,11.30M,2.18,0.43
LPI,"Laredo Petroleum, Inc.",Basic Materials,Independent Oil & Gas,USA,725.19M,2.22,3.18
ROSEU,Rosehill Resources Inc.,Basic Materials,Independent Oil & Gas,USA,-,2.23,3.92
HCC,"Warrior Met Coal, Inc.",Basic Materials,Industrial Metals & Minerals,USA,1.57B,2.32,31.43
BDR,"Blonder Tongue Laboratories, Inc.",Technology,Communication Equipment,USA,10.00M,2.42,1.10
THST,"Truett-Hurst, Inc.",Consumer Goods,Beverages - Wineries & Distillers,USA,6.80M,2.51,1.39
SRAX,"Social Reality, Inc.",Services,Advertising Agencies,USA,34.71M,2.66,3.30
FSK,FS KKR Capital Corp.,Financial,Asset Management,USA,3.18B,2.67,6.11
ATV,"Acorn International, Inc.",Services,Catalog & Mail Order Houses,China,961.04M,2.69,25.96
VHI,"Valhi, Inc.",Basic Materials,Chemicals - Major Diversified,USA,793.69M,2.76,2.39
BCEI,"Bonanza Creek Energy, Inc.",Basic Materials,Independent Oil & Gas,USA,466.12M,2.78,22.95
KEN,Kenon Holdings Ltd.,Utilities,Foreign Utilities,Singapore,1.04B,2.88,19.10
DNR,Denbury Resources Inc.,Basic Materials,Independent Oil & Gas,USA,962.29M,2.90,2.12
CLF,Cleveland-Cliffs Inc.,Basic Materials,Industrial Metals & Minerals,USA,2.96B,2.94,10.43
JP,Jupai Holdings Limited,Financial,Asset Management,China,124.41M,2.95,3.71
CNX,CNX Resources Corporation,Basic Materials,Independent Oil & Gas,USA,2.11B,2.96,10.74
